2019-03-18 10:51:00,1,2019-03-18 10:52:00,5400.2
2019-03-18 11:06:00,-1,2019-03-18 11:07:00,5367.0
2019-03-18 11:12:00,1,2019-03-18 11:14:00,5389.0
2019-03-18 11:21:00,-1,2019-03-18 11:22:00,5361.4
2019-03-18 13:01:00,1,2019-03-18 13:02:00,5404.0
2019-03-18 13:11:00,-1,2019-03-18 13:12:00,5378.0
2019-03-18 13:32:00,1,2019-03-18 13:33:00,5411.0
2019-03-18 13:44:00,-1,2019-03-18 13:45:00,5376.6
2019-03-18 14:15:00,1,2019-03-18 14:16:00,5473.6
2019-03-18 14:23:00,-1,2019-03-18 14:24:00,5455.6
2019-03-18 14:34:00,1,2019-03-18 14:35:00,5504.2
2019-03-18 14:44:00,-1,2019-03-18 14:45:00,5476.4
2019-03-18 14:59:00,1,2019-03-19 09:31:00,5514.6
2019-03-19 09:42:00,-1,2019-03-19 09:43:00,5470.0
2019-03-19 09:53:00,1,2019-03-19 09:54:00,5525.0
2019-03-19 10:01:00,-1,2019-03-19 10:02:00,5488.8
2019-03-19 10:12:00,1,2019-03-19 10:13:00,5531.0
2019-03-19 10:48:00,-1,2019-03-19 10:49:00,5482.2
2019-03-19 11:06:00,1,2019-03-19 11:07:00,5512.8
2019-03-19 11:15:00,-1,2019-03-19 11:18:00,5472.8
2019-03-19 13:03:00,1,2019-03-19 13:04:00,5498.0
2019-03-19 13:09:00,-1,2019-03-19 13:10:00,5478.0
2019-03-19 13:29:00,1,2019-03-19 13:30:00,5522.2
2019-03-19 13:49:00,-1,2019-03-19 13:50:00,5455.0
2019-03-19 14:03:00,1,2019-03-19 14:05:00,5493.8
2019-03-19 14:12:00,-1,2019-03-19 14:13:00,5466.2
2019-03-19 14:17:00,1,2019-03-19 14:18:00,5487.8
2019-03-19 14:22:00,-1,2019-03-19 14:23:00,5462.6
2019-03-19 14:43:00,1,2019-03-19 14:44:00,5505.6
2019-03-20 10:10:00,-1,2019-03-20 10:11:00,5442.4
2019-03-20 10:18:00,1,2019-03-20 10:19:00,5463.2
2019-03-20 10:25:00,-1,2019-03-20 10:26:00,5448.0
2019-03-20 10:35:00,1,2019-03-20 10:36:00,5473.0
2019-03-20 10:42:00,-1,2019-03-20 10:43:00,5451.6
2019-03-20 11:01:00,1,2019-03-20 11:02:00,5493.2
2019-03-20 13:08:00,-1,2019-03-20 13:09:00,5352.2
2019-03-20 13:34:00,1,2019-03-20 13:35:00,5413.2
2019-03-20 13:59:00,-1,2019-03-20 14:00:00,5378.4
2019-03-20 14:32:00,1,2019-03-20 14:33:00,5477.4
2019-03-20 14:47:00,-1,2019-03-20 14:48:00,5457.4
