2019-03-11 13:16:00,3,2019-03-11 13:22:00
2019-03-12 13:27:00,3,2019-03-12 13:32:00
2019-03-12 14:15:00,-3,2019-03-12 14:24:00
2019-03-13 14:03:00,-3,2019-03-13 14:16:00
2019-03-14 10:16:00,-3,2019-03-14 10:30:00
2019-03-14 13:18:00,-3,2019-03-14 13:25:00
2019-03-15 09:38:00,3,2019-03-15 09:46:00
2019-03-15 11:10:00,3,2019-03-15 11:22:00
2019-03-15 13:13:00,-3,2019-03-15 13:24:00
2019-03-18 10:43:00,3,2019-03-18 10:52:00
2019-03-18 14:23:00,3,2019-03-18 14:28:00
2019-03-20 10:18:00,-3,2019-03-20 10:26:00
2019-03-20 13:34:00,-3,2019-03-20 13:41:00
2019-03-20 14:47:00,3,2019-03-20 14:59:00
2019-03-21 13:20:00,3,2019-03-21 13:29:00
2019-03-22 11:12:00,-3,2019-03-22 11:23:00
2019-03-22 13:41:00,3,2019-03-22 13:47:00
2019-03-25 13:09:00,-3,2019-03-25 13:16:00
2019-03-25 13:43:00,3,2019-03-25 13:50:00
2019-03-26 10:05:00,-3,2019-03-26 10:11:00
2019-03-26 11:16:00,-3,2019-03-26 11:26:00
2019-03-26 14:10:00,-3,2019-03-26 14:22:00
2019-03-28 10:10:00,3,2019-03-28 10:17:00
2019-03-28 13:13:00,-3,2019-03-28 13:25:00
2019-03-29 10:36:00,3,2019-03-29 10:42:00
2019-03-29 14:44:00,3,2019-03-29 14:51:00
2019-04-01 10:07:00,3,2019-04-01 10:14:00
2019-04-02 09:42:00,3,2019-04-02 09:49:00
2019-04-02 14:00:00,-3,2019-04-02 14:08:00
2019-04-03 14:40:00,3,2019-04-03 14:47:00
2019-04-08 13:16:00,-3,2019-04-08 13:27:00
2019-04-08 14:35:00,3,2019-04-08 14:43:00
2019-04-09 10:52:00,3,2019-04-09 10:59:00
2019-04-09 13:32:00,-3,2019-04-09 13:41:00
2019-04-10 10:06:00,-3,2019-04-10 10:12:00
2019-04-10 11:04:00,3,2019-04-10 11:12:00
2019-04-11 10:33:00,-3,2019-04-11 10:43:00
2019-04-11 11:19:00,-3,2019-04-11 11:26:00
2019-04-12 14:00:00,-3,2019-04-12 14:09:00
2019-04-15 11:14:00,-3,2019-04-15 11:25:00
2019-04-15 14:09:00,-3,2019-04-15 14:18:00
2019-04-16 13:17:00,3,2019-04-16 13:27:00
2019-04-16 14:28:00,3,2019-04-16 14:40:00
2019-04-17 11:29:00,3,2019-04-17 13:14:00
2019-04-17 14:03:00,3,2019-04-17 14:12:00
2019-04-18 09:50:00,-3,2019-04-18 09:58:00
2019-04-18 11:00:00,3,2019-04-18 11:08:00
2019-04-19 10:13:00,-3,2019-04-19 10:20:00
2019-04-19 14:05:00,3,2019-04-19 14:25:00
2019-04-22 09:41:00,-3,2019-04-22 09:49:00
2019-04-22 13:17:00,-3,2019-04-22 13:25:00
2019-04-23 10:01:00,-3,2019-04-23 10:14:00
2019-04-23 10:51:00,-3,2019-04-23 10:57:00
2019-04-23 13:59:00,3,2019-04-23 14:10:00
2019-04-24 13:40:00,3,2019-04-24 13:49:00
2019-04-25 09:52:00,-3,2019-04-25 10:01:00
2019-04-25 13:33:00,-3,2019-04-25 13:42:00
2019-04-26 09:44:00,-3,2019-04-26 09:52:00
2019-04-29 10:23:00,-3,2019-04-29 10:31:00
2019-04-29 13:49:00,3,2019-04-29 13:59:00
2019-04-29 14:35:00,-3,2019-04-29 14:42:00
2019-04-30 09:54:00,3,2019-04-30 10:01:00
2019-04-30 13:44:00,-3,2019-04-30 13:51:00
2019-05-06 09:48:00,-3,2019-05-06 09:56:00
2019-05-06 10:39:00,-3,2019-05-06 10:47:00
